scenario,gauge,planningUnit,state,sWSDLName,ewrCode,multigauge,eventYears,frequency,targetFrequency,achievementCount,achievementPerYear,eventCount,eventCountAll,eventsPerYear,eventsPerYearAll,averageEventLength,thresholdDays,maxInterEventYears,noDataDays,totalDays
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,BF2c,,22.0,34,75,22.0,0.34375,22.0,63.0,0.34375,0.984375,43.77777777777778,2758.0,2,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,BK1_S,,23.0,36,65,32.0,0.5,32.0,45.0,0.5,0.703125,64.15555555555555,2887.0,2,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,BK1a_P,,11.0,17,65,11.0,0.171875,11.0,15.0,0.171875,0.234375,44.53333333333333,668.0,2,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,BK1b_P,,13.0,20,65,14.0,0.21875,14.0,24.0,0.21875,0.375,41.5,996.0,2,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,BK2_P,,19.0,30,25,21.0,0.328125,21.0,37.0,0.328125,0.578125,59.648648648648646,2207.0,4,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,BK2_S,,19.0,30,25,23.0,0.359375,23.0,42.0,0.359375,0.65625,62.095238095238095,2608.0,4,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,CF,,22.0,34,10,24.0,0.375,24.0,117.0,0.375,1.828125,26.162393162393162,3061.0,0,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,LF1_P,,23.0,36,40,26.0,0.40625,26.0,28.0,0.40625,0.4375,53.0,1484.0,4,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,LF1_S,,34.0,53,40,60.0,0.9375,60.0,63.0,0.9375,0.984375,59.22222222222222,3731.0,4,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,LF2_P,,25.0,39,75,33.0,0.515625,33.0,36.0,0.515625,0.5625,46.833333333333336,1686.0,2,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,LF2_S,,34.0,53,75,60.0,0.9375,60.0,63.0,0.9375,0.984375,59.22222222222222,3731.0,2,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,LF3_P,,24.0,38,75,30.0,0.46875,30.0,37.0,0.46875,0.578125,44.5945945945946,1650.0,2,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,LF3_S,,32.0,50,75,50.0,0.78125,50.0,63.0,0.78125,0.984375,59.22222222222222,3731.0,2,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,NestS1,,8.0,12,100,8.0,0.125,8.0,56.0,0.125,0.875,19.107142857142858,1070.0,1,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,OB1_P,,10.0,16,50,11.0,0.171875,11.0,12.0,0.171875,0.1875,60.083333333333336,721.0,3,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,OB1_S,,20.0,31,50,30.0,0.46875,30.0,35.0,0.46875,0.546875,63.02857142857143,2206.0,3,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,OB2,,18.0,28,50,26.0,0.40625,26.0,32.0,0.40625,0.5,58.5,1872.0,4,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,OB3,,11.0,17,20,11.0,0.171875,11.0,21.0,0.171875,0.328125,56.476190476190474,1186.0,10,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,OB4,,7.0,11,10,7.0,0.109375,7.0,13.0,0.109375,0.203125,50.07692307692308,651.0,12,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,OB5,,4.0,6,10,4.0,0.0625,4.0,4.0,0.0625,0.0625,34.75,139.0,14,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,SF1,,32.0,50,75,36.0,0.5625,36.0,48.0,0.5625,0.75,34.75,1668.0,2,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,SF2,,15.0,23,30,15.0,0.234375,15.0,38.0,0.234375,0.59375,47.86842105263158,1819.0,5,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,SF3,,43.0,67,75,52.0,0.8125,52.0,75.0,0.8125,1.171875,48.72,3654.0,2,501.0,22996.0
hydrographs_LowerDarling_20250516,425012,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,VF,,0.0,0,100,0.0,0.0,0.0,160.0,0.0,2.5,51.41875,8227.0,0.109589,501.0,22996.0
hydrographs_LowerDarling_20250516,425013,Darling Anabranch,NSW,Lower Darling,ALT-CTF,,57.0,89,75,63.0,0.984375,63.0,115.0,0.984375,1.796875,131.75652173913045,15152.0,1,866.0,22996.0
hydrographs_LowerDarling_20250516,425013,Darling Anabranch,NSW,Lower Darling,BK1,,14.0,22,25,15.0,0.234375,15.0,19.0,0.234375,0.296875,68.26315789473684,1297.0,7,866.0,22996.0
hydrographs_LowerDarling_20250516,425013,Darling Anabranch,NSW,Lower Darling,CF_b,,3.0,5,5,3.0,0.046875,3.0,80.0,0.046875,1.25,189.4,15152.0,1,866.0,22996.0
hydrographs_LowerDarling_20250516,425013,Darling Anabranch,NSW,Lower Darling,LF1_P,,19.0,30,25,23.0,0.359375,23.0,30.0,0.359375,0.46875,59.766666666666666,1793.0,5,866.0,22996.0
hydrographs_LowerDarling_20250516,425013,Darling Anabranch,NSW,Lower Darling,LF1_S,,20.0,31,25,25.0,0.390625,25.0,36.0,0.390625,0.5625,59.25,2133.0,5,866.0,22996.0
hydrographs_LowerDarling_20250516,425013,Darling Anabranch,NSW,Lower Darling,LF2,,13.0,20,40,14.0,0.21875,14.0,36.0,0.21875,0.5625,59.25,2133.0,7,866.0,22996.0
hydrographs_LowerDarling_20250516,425013,Darling Anabranch,NSW,Lower Darling,OB1,,10.0,16,20,10.0,0.15625,10.0,15.0,0.15625,0.234375,59.8,897.0,7,866.0,22996.0
hydrographs_LowerDarling_20250516,425013,Darling Anabranch,NSW,Lower Darling,OB2,,8.0,12,15,8.0,0.125,8.0,10.0,0.125,0.15625,45.9,459.0,10,866.0,22996.0
hydrographs_LowerDarling_20250516,425013,Darling Anabranch,NSW,Lower Darling,OB3,,4.0,6,10,4.0,0.0625,4.0,5.0,0.0625,0.078125,31.8,159.0,14,866.0,22996.0
hydrographs_LowerDarling_20250516,425013,Darling Anabranch,NSW,Lower Darling,SF1_P,,45.0,70,65,64.0,1.0,64.0,90.0,1.0,1.40625,55.81111111111111,5023.0,2,866.0,22996.0
hydrographs_LowerDarling_20250516,425013,Darling Anabranch,NSW,Lower Darling,SF1_S,,47.0,73,65,79.0,1.234375,79.0,110.0,1.234375,1.71875,59.054545454545455,6496.0,2,866.0,22996.0
hydrographs_LowerDarling_20250516,425019,Redbank and Tandou creeks,NSW,Lower Darling,ALT-CTF,,50.0,78,75,50.0,0.78125,50.0,97.0,0.78125,1.515625,188.51546391752578,18286.0,1,501.0,22996.0
hydrographs_LowerDarling_20250516,425019,Redbank and Tandou creeks,NSW,Lower Darling,BK1,,6.0,9,10,7.0,0.109375,7.0,11.0,0.109375,0.171875,56.90909090909091,626.0,5,501.0,22996.0
hydrographs_LowerDarling_20250516,425019,Redbank and Tandou creeks,NSW,Lower Darling,CF_b,,4.0,6,5,4.0,0.0625,4.0,46.0,0.0625,0.71875,397.5217391304348,18286.0,1,501.0,22996.0
hydrographs_LowerDarling_20250516,425019,Redbank and Tandou creeks,NSW,Lower Darling,LF2,,5.0,8,40,6.0,0.09375,6.0,17.0,0.09375,0.265625,55.94117647058823,951.0,4,501.0,22996.0
