"","planning_unit_name","gauge","ewr_code_timing","state","LTWPShortName","env_obj","Target","SWSDLName"
"536","Murray River - Barmah to Barham","409048","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"537","Edward River - Stevens Weir to Wakool River","409048","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"538","Murray River - Hume to Yarrawonga","409048","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"539","Upper Wakool River and Yallakool Creek","409048","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"540","Murray River - Yarrawonga to Barmah","409048","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"541","Murray River - Barmah to Barham","409048","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"542","Edward River - Stevens Weir to Wakool River","409048","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"543","Murray River - Hume to Yarrawonga","409048","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"544","Upper Wakool River and Yallakool Creek","409048","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"545","Murray River - Yarrawonga to Barmah","409048","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"546","Murray River - Barmah to Barham","409048","OB2_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"547","Edward River - Stevens Weir to Wakool River","409048","OB2_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"548","Murray River - Hume to Yarrawonga","409048","OB2_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"549","Upper Wakool River and Yallakool Creek","409048","OB2_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"550","Murray River - Yarrawonga to Barmah","409048","OB2_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"551","Murray River - Barmah to Barham","409048","OB2_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"552","Edward River - Stevens Weir to Wakool River","409048","OB2_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"553","Murray River - Hume to Yarrawonga","409048","OB2_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"554","Upper Wakool River and Yallakool Creek","409048","OB2_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"555","Murray River - Yarrawonga to Barmah","409048","OB2_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"556","Murray River - Barmah to Barham","409048","OB3","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"557","Edward River - Stevens Weir to Wakool River","409048","OB3","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"558","Murray River - Hume to Yarrawonga","409048","OB3","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"559","Upper Wakool River and Yallakool Creek","409048","OB3","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"560","Murray River - Yarrawonga to Barmah","409048","OB3","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"561","Murray River - Barmah to Barham","409048","OB4","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"562","Edward River - Stevens Weir to Wakool River","409048","OB4","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"563","Murray River - Hume to Yarrawonga","409048","OB4","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"564","Upper Wakool River and Yallakool Creek","409048","OB4","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"565","Murray River - Yarrawonga to Barmah","409048","OB4","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"566","Murray River - Barmah to Barham","409072","BK1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"567","Edward River - Stevens Weir to Wakool River","409072","BK1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"568","Murray River - Hume to Yarrawonga","409072","BK1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"569","Upper Wakool River and Yallakool Creek","409072","BK1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"570","Murray River - Yarrawonga to Barmah","409072","BK1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"571","Murray River - Barmah to Barham","409072","BK1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"572","Edward River - Stevens Weir to Wakool River","409072","BK1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"573","Murray River - Hume to Yarrawonga","409072","BK1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"574","Upper Wakool River and Yallakool Creek","409072","BK1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"575","Murray River - Yarrawonga to Barmah","409072","BK1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"576","Murray River - Barmah to Barham","409072","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"577","Edward River - Stevens Weir to Wakool River","409072","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"578","Murray River - Hume to Yarrawonga","409072","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"579","Upper Wakool River and Yallakool Creek","409072","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"580","Murray River - Yarrawonga to Barmah","409072","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"581","Murray River - Barmah to Barham","409072","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"582","Edward River - Stevens Weir to Wakool River","409072","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"583","Murray River - Hume to Yarrawonga","409072","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"584","Upper Wakool River and Yallakool Creek","409072","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"585","Murray River - Yarrawonga to Barmah","409072","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"586","Murray River - Barmah to Barham","409072","OB2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"587","Edward River - Stevens Weir to Wakool River","409072","OB2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"588","Murray River - Hume to Yarrawonga","409072","OB2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"589","Upper Wakool River and Yallakool Creek","409072","OB2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"590","Murray River - Yarrawonga to Barmah","409072","OB2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"591","Murray River - Barmah to Barham","409072","OB3","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"592","Edward River - Stevens Weir to Wakool River","409072","OB3","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"593","Murray River - Hume to Yarrawonga","409072","OB3","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"594","Upper Wakool River and Yallakool Creek","409072","OB3","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"595","Murray River - Yarrawonga to Barmah","409072","OB3","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"596","Murray River - Barmah to Barham","409072","OB4","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"597","Edward River - Stevens Weir to Wakool River","409072","OB4","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"598","Murray River - Hume to Yarrawonga","409072","OB4","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"599","Upper Wakool River and Yallakool Creek","409072","OB4","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"600","Murray River - Yarrawonga to Barmah","409072","OB4","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"601","Murray River - Barmah to Barham","409207","SF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"602","Edward River - Stevens Weir to Wakool River","409207","SF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"603","Murray River - Hume to Yarrawonga","409207","SF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"604","Upper Wakool River and Yallakool Creek","409207","SF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"605","Murray River - Yarrawonga to Barmah","409207","SF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"606","Murray River - Barmah to Barham","409207","LF1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"607","Edward River - Stevens Weir to Wakool River","409207","LF1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"608","Murray River - Hume to Yarrawonga","409207","LF1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"609","Upper Wakool River and Yallakool Creek","409207","LF1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"610","Murray River - Yarrawonga to Barmah","409207","LF1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"611","Murray River - Barmah to Barham","409207","LF1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"612","Edward River - Stevens Weir to Wakool River","409207","LF1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"613","Murray River - Hume to Yarrawonga","409207","LF1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"614","Upper Wakool River and Yallakool Creek","409207","LF1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"615","Murray River - Yarrawonga to Barmah","409207","LF1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"616","Murray River - Barmah to Barham","409207","LF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"617","Edward River - Stevens Weir to Wakool River","409207","LF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"618","Murray River - Hume to Yarrawonga","409207","LF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"619","Upper Wakool River and Yallakool Creek","409207","LF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"620","Murray River - Yarrawonga to Barmah","409207","LF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"621","Murray River - Barmah to Barham","409207","BK1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"622","Edward River - Stevens Weir to Wakool River","409207","BK1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"623","Murray River - Hume to Yarrawonga","409207","BK1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"624","Upper Wakool River and Yallakool Creek","409207","BK1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"625","Murray River - Yarrawonga to Barmah","409207","BK1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"626","Murray River - Barmah to Barham","409207","BK1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"627","Edward River - Stevens Weir to Wakool River","409207","BK1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"628","Murray River - Hume to Yarrawonga","409207","BK1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"629","Upper Wakool River and Yallakool Creek","409207","BK1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"630","Murray River - Yarrawonga to Barmah","409207","BK1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"631","Murray River - Barmah to Barham","409207","BK2_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"632","Edward River - Stevens Weir to Wakool River","409207","BK2_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"633","Murray River - Hume to Yarrawonga","409207","BK2_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"634","Upper Wakool River and Yallakool Creek","409207","BK2_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"635","Murray River - Yarrawonga to Barmah","409207","BK2_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"636","Murray River - Barmah to Barham","409207","BK2_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"637","Edward River - Stevens Weir to Wakool River","409207","BK2_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"638","Murray River - Hume to Yarrawonga","409207","BK2_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"639","Upper Wakool River and Yallakool Creek","409207","BK2_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"640","Murray River - Yarrawonga to Barmah","409207","BK2_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"641","Murray River - Barmah to Barham","409207","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"642","Edward River - Stevens Weir to Wakool River","409207","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"643","Murray River - Hume to Yarrawonga","409207","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"644","Upper Wakool River and Yallakool Creek","409207","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"645","Murray River - Yarrawonga to Barmah","409207","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"646","Murray River - Barmah to Barham","409207","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"647","Edward River - Stevens Weir to Wakool River","409207","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"648","Murray River - Hume to Yarrawonga","409207","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"649","Upper Wakool River and Yallakool Creek","409207","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"650","Murray River - Yarrawonga to Barmah","409207","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"651","Murray River - Barmah to Barham","409207","OB2_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"652","Edward River - Stevens Weir to Wakool River","409207","OB2_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"653","Murray River - Hume to Yarrawonga","409207","OB2_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"654","Upper Wakool River and Yallakool Creek","409207","OB2_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"655","Murray River - Yarrawonga to Barmah","409207","OB2_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"656","Murray River - Barmah to Barham","409207","OB2_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"657","Edward River - Stevens Weir to Wakool River","409207","OB2_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"658","Murray River - Hume to Yarrawonga","409207","OB2_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"659","Upper Wakool River and Yallakool Creek","409207","OB2_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"660","Murray River - Yarrawonga to Barmah","409207","OB2_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"661","Murray River - Barmah to Barham","409207","OB3_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"662","Edward River - Stevens Weir to Wakool River","409207","OB3_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"663","Murray River - Hume to Yarrawonga","409207","OB3_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"664","Upper Wakool River and Yallakool Creek","409207","OB3_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"665","Murray River - Yarrawonga to Barmah","409207","OB3_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"666","Murray River - Barmah to Barham","409207","OB3_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"667","Edward River - Stevens Weir to Wakool River","409207","OB3_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"668","Murray River - Hume to Yarrawonga","409207","OB3_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"669","Upper Wakool River and Yallakool Creek","409207","OB3_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"670","Murray River - Yarrawonga to Barmah","409207","OB3_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"671","Murray River - Barmah to Barham","409207","OB4_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"672","Edward River - Stevens Weir to Wakool River","409207","OB4_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"673","Murray River - Hume to Yarrawonga","409207","OB4_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"674","Upper Wakool River and Yallakool Creek","409207","OB4_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"675","Murray River - Yarrawonga to Barmah","409207","OB4_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"676","Murray River - Barmah to Barham","409207","OB4_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"677","Edward River - Stevens Weir to Wakool River","409207","OB4_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"678","Murray River - Hume to Yarrawonga","409207","OB4_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"679","Upper Wakool River and Yallakool Creek","409207","OB4_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"680","Murray River - Yarrawonga to Barmah","409207","OB4_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"681","Murray River - Barmah to Barham","409207","OB5","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"682","Edward River - Stevens Weir to Wakool River","409207","OB5","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"683","Murray River - Hume to Yarrawonga","409207","OB5","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"684","Upper Wakool River and Yallakool Creek","409207","OB5","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"685","Murray River - Yarrawonga to Barmah","409207","OB5","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"686","Murray River - Lock 15 weir pool to Lock 10","414203","LF1","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"687","Lower Darling River - Weir 32 to downstream Burtundy","414203","LF1","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"688","Murray River - Lock 10 to Lock 9","414203","LF1","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"689","Darling Anabranch","414203","LF1","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"690","Redbank and Tandou creeks","414203","LF1","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"691","Lake Wetherall","414203","LF1","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"692","Menindee Lakes","414203","LF1","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"693","Murray River - Lock 9 to Lock 7","414203","LF1","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"694","Murray River - Lock 7 to SA border","414203","LF1","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"695","Murray River - Lock 15 weir pool to Lock 10","414203","LF2","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"696","Lower Darling River - Weir 32 to downstream Burtundy","414203","LF2","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"697","Murray River - Lock 10 to Lock 9","414203","LF2","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"698","Darling Anabranch","414203","LF2","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"699","Redbank and Tandou creeks","414203","LF2","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"700","Lake Wetherall","414203","LF2","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"701","Menindee Lakes","414203","LF2","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"702","Murray River - Lock 9 to Lock 7","414203","LF2","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"703","Murray River - Lock 7 to SA border","414203","LF2","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"704","Murray River - Lock 15 weir pool to Lock 10","414203","BK1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"705","Lower Darling River - Weir 32 to downstream Burtundy","414203","BK1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"706","Murray River - Lock 10 to Lock 9","414203","BK1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"707","Darling Anabranch","414203","BK1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"708","Redbank and Tandou creeks","414203","BK1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"709","Lake Wetherall","414203","BK1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"710","Menindee Lakes","414203","BK1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"711","Murray River - Lock 9 to Lock 7","414203","BK1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"712","Murray River - Lock 7 to SA border","414203","BK1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"713","Murray River - Lock 15 weir pool to Lock 10","414203","BK1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"714","Lower Darling River - Weir 32 to downstream Burtundy","414203","BK1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"715","Murray River - Lock 10 to Lock 9","414203","BK1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"716","Darling Anabranch","414203","BK1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"717","Redbank and Tandou creeks","414203","BK1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"718","Lake Wetherall","414203","BK1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"719","Menindee Lakes","414203","BK1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"720","Murray River - Lock 9 to Lock 7","414203","BK1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"721","Murray River - Lock 7 to SA border","414203","BK1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"722","Murray River - Lock 15 weir pool to Lock 10","414203","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"723","Lower Darling River - Weir 32 to downstream Burtundy","414203","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"724","Murray River - Lock 10 to Lock 9","414203","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"725","Darling Anabranch","414203","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"726","Redbank and Tandou creeks","414203","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"727","Lake Wetherall","414203","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"728","Menindee Lakes","414203","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"729","Murray River - Lock 9 to Lock 7","414203","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"730","Murray River - Lock 7 to SA border","414203","OB1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"731","Murray River - Lock 15 weir pool to Lock 10","414203","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"732","Lower Darling River - Weir 32 to downstream Burtundy","414203","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"733","Murray River - Lock 10 to Lock 9","414203","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"734","Darling Anabranch","414203","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"735","Redbank and Tandou creeks","414203","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"736","Lake Wetherall","414203","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"737","Menindee Lakes","414203","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"738","Murray River - Lock 9 to Lock 7","414203","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"739","Murray River - Lock 7 to SA border","414203","OB1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"740","Murray River - Lock 15 weir pool to Lock 10","414203","OB2","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"741","Lower Darling River - Weir 32 to downstream Burtundy","414203","OB2","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"742","Murray River - Lock 10 to Lock 9","414203","OB2","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"743","Darling Anabranch","414203","OB2","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"744","Redbank and Tandou creeks","414203","OB2","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"745","Lake Wetherall","414203","OB2","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"746","Menindee Lakes","414203","OB2","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"747","Murray River - Lock 9 to Lock 7","414203","OB2","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"748","Murray River - Lock 7 to SA border","414203","OB2","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"749","Murray River - Lock 15 weir pool to Lock 10","414203","OB3","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"750","Lower Darling River - Weir 32 to downstream Burtundy","414203","OB3","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"751","Murray River - Lock 10 to Lock 9","414203","OB3","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"752","Darling Anabranch","414203","OB3","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"753","Redbank and Tandou creeks","414203","OB3","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"754","Lake Wetherall","414203","OB3","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
"755","Menindee Lakes","414203","OB3","NSW","Murray Lower Darling","NV4","Native Vegetation","Lower Darling"
