scenario,gauge,planningUnit,state,sWSDLName,ewrCode,multigauge,eventYears,frequency,targetFrequency,achievementCount,achievementPerYear,eventCount,eventCountAll,eventsPerYear,eventsPerYearAll,averageEventLength,thresholdDays,maxInterEventYears,noDataDays,totalDays
hydrographs_LowerDarling,425022,Menindee Lakes,NSW,Lower Darling,VHLL,,1.0,17,10,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,0.16666666666666666,325.0,325.0,10,0.0,1925.0
hydrographs_LowerDarling,425023,Menindee Lakes,NSW,Lower Darling,HLLF,,2.0,33,15,2.0,0.3333333333333333,2.0,2.0,0.3333333333333333,0.3333333333333333,521.5,1043.0,8,0.0,1925.0
hydrographs_LowerDarling,425023,Menindee Lakes,NSW,Lower Darling,LLLF,,4.0,67,70,4.0,0.6666666666666666,4.0,4.0,0.6666666666666666,0.6666666666666666,920.25,3681.0,7,0.0,1925.0
hydrographs_LowerDarling,425023,Menindee Lakes,NSW,Lower Darling,MLLF,,4.0,67,40,4.0,0.6666666666666666,4.0,4.0,0.6666666666666666,0.6666666666666666,913.25,3653.0,7,0.0,1925.0
hydrographs_LowerDarling,425023,Menindee Lakes,NSW,Lower Darling,VHLL,,1.0,17,10,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,0.16666666666666666,319.0,319.0,10,0.0,1925.0
hydrographs_LowerDarling,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,BF1_a,,0.0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0,1925.0
hydrographs_LowerDarling,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,BF1_b,,0.0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0,1925.0
hydrographs_LowerDarling,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,BK1_P,,0.0,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,1925.0
hydrographs_LowerDarling,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,BK1_S,,0.0,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,1925.0
hydrographs_LowerDarling,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,LF1,,0.0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10.0,1925.0
hydrographs_LowerDarling,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,LF2,,0.0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,1925.0
hydrographs_LowerDarling,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,OB1_P,,0.0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10.0,1925.0
hydrographs_LowerDarling,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,OB1_S,,0.0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10.0,1925.0
hydrographs_LowerDarling,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,OB2,,0.0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10.0,1925.0
hydrographs_LowerDarling,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,OB3,,0.0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,10.0,1925.0
hydrographs_LowerDarling,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,OB4,,0.0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10.0,1925.0
hydrographs_LowerDarling,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,SF1,,0.0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0,1925.0
hydrographs_LowerDarling,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,SF2,,0.0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10.0,1925.0
hydrographs_LowerDarling,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,VF,,0.0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,1925.0
hydrographs_LowerDarling,A4260507,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,BF1_a,,0.0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1755.0,1925.0
hydrographs_LowerDarling,A4260507,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,BF1_b,,0.0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1755.0,1925.0
hydrographs_LowerDarling,A4260507,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,BK1_P,,0.0,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1755.0,1925.0
hydrographs_LowerDarling,A4260507,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,BK1_S,,0.0,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1755.0,1925.0
hydrographs_LowerDarling,A4260507,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,LF1,,0.0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1755.0,1925.0
hydrographs_LowerDarling,A4260507,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,LF2,,0.0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1755.0,1925.0
hydrographs_LowerDarling,A4260507,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,OB1_P,,0.0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1755.0,1925.0
hydrographs_LowerDarling,A4260507,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,OB1_S,,0.0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1755.0,1925.0
hydrographs_LowerDarling,A4260507,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,OB2,,0.0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1755.0,1925.0
hydrographs_LowerDarling,A4260507,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,OB3,,0.0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1755.0,1925.0
hydrographs_LowerDarling,A4260507,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,OB4,,0.0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1755.0,1925.0
hydrographs_LowerDarling,A4260507,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,SF1,,0.0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1755.0,1925.0
hydrographs_LowerDarling,A4260507,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,SF2,,0.0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1755.0,1925.0
